name,likes,retweet,reply's,tweeted
DNA, 37,7,0,"Who Is Icon of   #Bollywood   ?

Like -  #AishwaryaRai  

Retweet -  #DeepikaPadukone"
RVCJ Movies, 1267, 90,10,#SonakshiSinha  is all praise for  #ShahRukhKhan  as she calls him the most 'Chivalrous Man' in   #Bollywood  .
Rahul Khurana, 121,34,0,A lovely chat with the big man   sir about the Magnificient  #Major  Journey Check this out!  #IndiaLovesMAJOR    #Bollywood   Interview with him coming tomorrow 
ETC Bollywood,0,0,0,
Karan Talwar,0,0,0,"This was the PEAK of   #Bollywood   award shows!
Entertaining & absolutely hilarious "
Boxofficebollywoodindustry, 470, 101,24,Kings Shisha Lounge お天気悪くても元気よく営業中でございます そして明日はいよいよボリウッドナイト 皆さまのご来店お待ちしております   #bollywood    #bollywoodnight   #shisha   #hookah   #shishabar   #shishacafe   #tokyo   #ginza   #shinbashi   #インド   #インドナイト   #ボリウッドナイト
Ashwin Krishna E Kdr, 156, 44,7,"This new selfie by the stunning trio is sure to make your day!    #Lisa  of  #BLACKPINK ,  ,  #AnneHathaway     What's your fave selfie pose?    #Kpop    #Bollywood    #Hollywood   #PriyankaChopraJonas"
HT City, 3995, 1555,10,This scene   #ghajini   #aamirkhan   #asin    #bollywood    #moviescene   #rvcjmovies
RVCJ Movies, 1267, 90,10,
Vishakha Agarwal, 35, 4,2,"#Kajol  reveals she never wanted to enter   #Bollywood  , says she wanted a job with 'regular pay cheque'"
mid-day Gujarati, 1439, 506,2,Only kriti lovers can retweet and comments   #KritiSanon   #Bollywood
exploring the beauty, 27, 3,1,
ETC Bollywood,0,0,0,
Karan Talwar,0,0,0,"This was the PEAK of   #Bollywood   award shows!
Entertaining & absolutely hilarious "
Sachin Yadav Jerry, 300, 50,3,
DNA, 40,7,0,"This new selfie by the stunning trio is sure to make your day!    #Lisa  of  #BLACKPINK ,  ,  #AnneHathaway     What's your fave selfie pose?    #Kpop    #Bollywood    #Hollywood   #PriyankaChopraJonas"
Adivi Sesh, 4403, 967,26,This scene   #ghajini   #aamirkhan   #asin    #bollywood    #moviescene   #rvcjmovies
RVCJ Movies, 1271, 90,10,
DNA, 40,7,0,A lovely chat with the big man   sir about the Magnificient  #Major  Journey Check this out!  #IndiaLovesMAJOR    #Bollywood   Interview with him coming tomorrow 
Adivi Sesh, 4408, 967,26,Acting Monsters of  #Kollywood  and   #Bollywood   Gonna do a Major Clash in Boxoffice #AamirKhan   #LaalSinghChaddha   #ChiyaanVikram   #Cobra
Ashwin Krishna E Kdr, 156, 44,7,
DNA, 40,7,0,Had to do this for       #BhoolBhulaiyaa2   #movie   #hareram   #pvr   #vishdose    #bollywood    #Trending   #KartikAaryan
HT City, 4008, 1561,10,A lovely chat with the big man   sir about the Magnificient  #Major  Journey Check this out!  #IndiaLovesMAJOR    #Bollywood   Interview with him coming tomorrow 
Adivi Sesh, 4409, 967,26,
DNA, 40,7,0,"This new selfie by the stunning trio is sure to make your day!    #Lisa  of  #BLACKPINK ,  ,  #AnneHathaway     What's your fave selfie pose?    #Kpop    #Bollywood    #Hollywood   #PriyankaChopraJonas"
Adivi Sesh, 4410, 968,26,"Who is Hot in Swimsuit?

Like -  #SurbhiChandna  

Retweet -  #Niasharma  #Thalapathy66    #Bollywood    #PrithvirajChauhan"
Lens Media, 55,13,0,
ETC Bollywood,0,0,0,
Karan Talwar,0,0,0,Had to do this for       #BhoolBhulaiyaa2   #movie   #hareram   #pvr   #vishdose    #bollywood    #Trending   #KartikAaryan
ANMOL JAMWAL, 1700, 142,46,
Ashwin Krishna E Kdr, 156, 44,7,This scene   #ghajini   #aamirkhan   #asin    #bollywood    #moviescene   #rvcjmovies
RVCJ Movies, 1276, 92,10,"This new selfie by the stunning trio is sure to make your day!    #Lisa  of  #BLACKPINK ,  ,  #AnneHathaway     What's your fave selfie pose?    #Kpop    #Bollywood    #Hollywood   #PriyankaChopraJonas"
HT City, 4011, 1561,10,"Who is Hot in Swimsuit?

Like -  #SurbhiChandna  

Retweet -  #Niasharma  #Thalapathy66    #Bollywood    #PrithvirajChauhan"
DNA, 40,7,0,Acting Monsters of  #Kollywood  and   #Bollywood   Gonna do a Major Clash in Boxoffice #AamirKhan   #LaalSinghChaddha   #ChiyaanVikram   #Cobra
RVCJ Movies, 1276, 92,10,"This new selfie by the stunning trio is sure to make your day!    #Lisa  of  #BLACKPINK ,  ,  #AnneHathaway     What's your fave selfie pose?    #Kpop    #Bollywood    #Hollywood   #PriyankaChopraJonas"
HT City, 4011, 1561,10,
ETC Bollywood,0,0,0,
Karan Talwar,0,0,0,"which actress do you like  

Comment :  #AliaBhatt Retweet :   #DeepikaPadukone  Like :        #KatrinaKaif    #Bollywood"
Urban Asian, 1453, 790,55,Kings Shisha Lounge お天気悪くても元気よく営業中でございます そして明日はいよいよボリウッドナイト 皆さまのご来店お待ちしております   #bollywood    #bollywoodnight   #shisha   #hookah   #shishabar   #shishacafe   #tokyo   #ginza   #shinbashi   #インド   #インドナイト   #ボリウッドナイト
